    150,         13.5,        -10.5,          -8.
    151,          15.,        -10.5,          -8.
    152,         16.5,        -10.5,          -8.
    153,          18.,        -10.5,          -8.
    154,         19.5,        -10.5,          -8.
    155,         -12.,          -9.,          -8.
    156,        -10.5,          -9.,          -8.
    157,          -9.,          -9.,          -8.
    158,         -7.5,          -9.,          -8.
    159,          -6.,          -9.,          -8.
    160,         -4.5,          -9.,          -8.
    161,          -3.,          -9.,          -8.
    162,         -1.5,          -9.,          -8.
    163, 2.23517006e-07,          -9.,          -8.
    164,          1.5,          -9.,          -8.
    165,           3.,          -9.,          -8.
    166,          4.5,          -9.,          -8.
    167,           6.,          -9.,          -8.
    168,          7.5,          -9.,          -8.
    169,           9.,          -9.,          -8.
    170,         10.5,          -9.,          -8.
    171,          12.,          -9.,          -8.
    172,         13.5,          -9.,          -8.
    173,          15.,          -9.,          -8.
    174,         16.5,          -9.,          -8.
    175,          18.,          -9.,          -8.
    176,         19.5,          -9.,          -8.
    177,         -12.,         -7.5,          -8.
    178,        -10.5,         -7.5,          -8.
    179,          -9.,         -7.5,          -8.
    180,         -7.5,         -7.5,          -8.
    181,          -6.,         -7.5,          -8.
    182,         -4.5,         -7.5,          -8.
    183,          -3.,         -7.5,          -8.
    184,         -1.5,         -7.5,          -8.
    185, 2.23517006e-07,         -7.5,          -8.
    186,          1.5,         -7.5,          -8.
    187,           3.,         -7.5,          -8.
    188,          4.5,         -7.5,          -8.
    189,           6.,         -7.5,          -8.
    190,          7.5,         -7.5,          -8.
    191,           9.,         -7.5,          -8.
    192,         10.5,         -7.5,          -8.
    193,          12.,         -7.5,          -8.
    194,         13.5,         -7.5,          -8.
    195,          15.,         -7.5,          -8.
    196,         16.5,         -7.5,          -8.
    197,          18.,         -7.5,          -8.
    198,         19.5,         -7.5,          -8.
    199,         -12.,          -6.,          -8.
    200,        -10.5,          -6.,          -8.
    201,          -9.,          -6.,          -8.
    202,         -7.5,          -6.,          -8.
    203,          -6.,          -6.,          -8.
    204,         -4.5,          -6.,          -8.
    205,          -3.,          -6.,          -8.
    206,         -1.5,          -6.,          -8.
    207, 2.23517006e-07,          -6.,          -8.
    208,          1.5,          -6.,          -8.
    209,           3.,          -6.,          -8.
    210,          4.5,          -6.,          -8.
    211,           6.,          -6.,          -8.
    212,          7.5,          -6.,          -8.
    213,           9.,          -6.,          -8.
    214,         10.5,          -6.,          -8.
    215,          12.,          -6.,          -8.
    216,         13.5,          -6.,          -8.
    217,          15.,          -6.,          -8.
    218,         16.5,          -6.,          -8.
    219,          18.,          -6.,          -8.
    220,         19.5,          -6.,          -8.
    221,         -12.,         -4.5,          -8.
    222,        -10.5,         -4.5,          -8.
    223,          -9.,         -4.5,          -8.
    224,         -7.5,         -4.5,          -8.
    225,          -6.,         -4.5,          -8.
    226,         -4.5,         -4.5,          -8.
    227,          -3.,         -4.5,          -8.
    228,         -1.5,         -4.5,          -8.
    229, 2.23517006e-07,         -4.5,          -8.
    230,          1.5,         -4.5,          -8.
    231,           3.,         -4.5,          -8.
    232,          4.5,         -4.5,          -8.
    233,           6.,         -4.5,          -8.
    234,          7.5,         -4.5,          -8.
    235,           9.,         -4.5,          -8.
    236,         10.5,         -4.5,          -8.
    237,          12.,         -4.5,          -8.
    238,         13.5,         -4.5,          -8.
    239,          15.,         -4.5,          -8.
    240,         16.5,         -4.5,          -8.
    241,          18.,         -4.5,          -8.
    242,         19.5,         -4.5,          -8.
    243,         -12.,          -3.,          -8.
