#14-Aug-2015  12:04 MOD-3.5d/Rev    2                                             PipeBlowdown.txt
#SAMPLE #1 SIMPLE PIPE BLOWDOWN PROBLEM                                           fesns-hp
#INITIAL CONDITIONS 7.0 MPa, 250 C                                               
#     5
#   (2X,F14.7,2X,5(F14.7,2X))                                                                                                       
#
#     OUTPUT #   1:
# PRESS:ATM(1)               -MULTIPLIED BY:   0.10000E-02
#
#     OUTPUT #   2:
# PRESS:PIPE(99)             -MULTIPLIED BY:   0.10000E-02
#
#     OUTPUT #   3:
# PRESS:PIPE(5)              -MULTIPLIED BY:   0.10000E-02
#
#     OUTPUT #   4:
# PRESS:PIPE(1)              -MULTIPLIED BY:   0.10000E-02
#
#     OUTPUT #   5:
# PRESS:PIPE(5)              -MULTIPLIED BY:   0.10000E-02
# PRESS:PIPE(1)              -MULTIPLIED BY:  -0.10000E-02
#
#
#
#
#
#
       0.0453681     101.3000000    3153.1099118    3153.1099118    3764.9837273    -611.8738155
       0.0484918     101.3000000    3146.2562065    3146.2562065    3760.9092374    -614.6530309
       0.0516796     101.3000000    3140.0545897    3140.0545897    3755.4941709    -615.4395812
       0.0550585     101.3000000    3133.2518967    3133.2518967    3748.3072681    -615.0553715
       0.0587360     101.3000000    3124.9079916    3124.9079916    3738.8671616    -613.9591699
       0.0627010     101.3000000    3114.7019435    3114.7019435    3726.9874462    -612.2855027
       0.0666761     101.3000000    3103.5094756    3103.5094756    3713.6557535    -610.1462779
       0.0706511     101.3000000    3091.7275418    3091.7275418    3698.3488548    -606.6213131
       0.0746527     101.3000000    3079.5236450    3079.5236450    3680.6754132    -601.1517683
       0.0787663     101.3000000    3066.7231577    3066.7231577    3659.8896446    -593.1664869
       0.0830745     101.3000000    3052.9818470    3052.9818470    3635.0772933    -582.0954463
       0.0876630     101.3000000    3037.7903145    3037.7903145    3604.9675276    -567.1772130
       0.0923245     101.3000000    3021.5445576    3021.5445576    3570.6692133    -549.1246558
       0.0969913     101.3000000    3004.3108126    3004.3108126    3532.1341289    -527.8233163
       0.1016963     101.3000000    2985.8242970    2985.8242970    3488.6900602    -502.8657632
       0.1064013     101.3000000    2966.0943114    2966.0943114    3440.6188816    -474.5245703
       0.1111063     101.3000000    2944.9347827    2944.9347827    3387.8822364    -442.9474537
       0.1158113     101.3000000    2922.7854787    2922.7854787    3330.6611766    -407.8756978
       0.1205163     101.3000000    2898.3542881    2898.3542881    3269.3143924    -370.9601043
       0.1252213     101.3000000    2871.5127726    2871.5127726    3204.3074423    -332.7946697
       0.1299263     101.3000000    2841.8947590    2841.8947590    3136.3796124    -294.4848534
       0.1346692     101.3000000    2808.7937614    2808.7937614    3066.1354138    -257.3416524
       0.1396285     101.3000000    2770.1647946    2770.1647946    2991.8082793    -221.6434846
       0.1449234     101.3000000    2723.8910302    2723.8910302    2916.3539182    -192.4628880
       0.1506690     101.3000000    2667.5119552    2667.5119552    2833.0562325    -165.5442773
       0.1569843     101.3000000    2598.5204647    2598.5204647    2742.7790070    -144.2585424
