   1       1       2       1
   2       2       3       2
   3       3       1       3
   4       1       4       4
   5       2       5       5
   6       3       6       6
   7       1       5       7
   8       2       4       8
   9       2       6       9
  10       3       5      10
  11       3       4      11
  12       1       6      12
  13       4       5      13
  14       5       6      14
  15       6       4      15
  16       7       8      16
  17       8       9      17
  18       9       7      18
  19       4       7      19
  20       5       8      20
  21       6       9      21
  22       4       8      22
  23       5       7      23
  24       5       9      24
  25       6       8      25
  26       6       7      26
  27       4       9      27
  28      10      11      28
  29      11      12      29
  30      12      10      30
  31       7      10      31
  32       8      11      32
  33       9      12      33
  34       7      11      34
  35       8      10      35
  36       8      12      36
  37       9      11      37
  38       9      10      38
  39       7      12      39
  40      13      14      40
  41      14      15      41
  42      15      13      42
  43      10      13      43
  44      11      14      44
  45      12      15      45
  46      10      14      46
  47      11      13      47
  48      11      15      48
  49      12      14      49
  50      12      13      50
  51      10      15      51
  52      16      17      52
  53      17      18      53
  54      18      16      54
  55      13      16      55
  56      14      17      56
  57      15      18      57
  58      13      17      58
  59      14      16      59
  60      14      18      60
  61      15      17      61
  62      15      16      62
  63      13      18      63
  64      19      20      64
  65      20      21      65
  66      21      19      66
  67      16      19      67
  68      17      20      68
  69      18      21      69
  70      16      20      70
  71      17      19      71
  72      17      21      72
  73      18      20      73
  74      18      19      74
  75      16      21      75
  76      22      23      76
  77      23      24      77
  78      24      22      78
  79      19      22      79
  80      20      23      80
  81      21      24      81
  82      19      23      82
  83      20      22      83
  84      20      24      84
  85      21      23      85
  86      21      22      86
  87      19      24      87
  88      25      26      88
  89      26      27      89
  90      27      25      90
  91      22      25      91
  92      23      26      92
  93      24      27      93
  94      22      26      94
  95      23      25      95
  96      23      27      96
  97      24      26      97
  98      24      25      98
  99      22      27      99
 100      28      29     100
 101      29      30     101
 102      30      28     102
 103      25      28     103
 104      26      29     104
 105      27      30     105
 106      25      29     106
 107      26      28     107
 108      26      30     108
 109      27      29     109
 110      27      28     110
 111      25      30     111
 112      31      32     112
 113      32      33     113
 114      33      31     114
 115      28      31     115
 116      29      32     116
 117      30      33     117
 118      28      32     118
 119      29      31     119
 120      29      33     120
 121      30      32     121
 122      30      31     122
 123      28      33     123
 124       1      34     124
 125       1      35     125
 126       1      36     126
 127       2      37     127
 128       2      38     128
 129      31      39     129
 130      31      40     130
 131      32      41     131
